TF	Description	Literature	Link
Alfin-like	Alfin1 cDNA, obtained by differential screening of a poly(A)+ library from salt-tolerant alfalfa cells, encodes a novel protein with a Cys4 and His/Cys3 putative zinc-binding domain that suggests a possible role for this protein in transcriptional regulation. We have expressed the cDNA in Escherichia coli and show that the recombinant Alfin1 protein binds DNA in a sequence-specific manner. The DNA recognition sequence was determined from individual clones isolated after four rounds of random oligonucleotide selection in gel retardation assays, coupled with PCR amplification of the selected sequences. The consensus binding site for Alfin1 is shown to contain two to five G-rich triplets with the conserved core of GNGGTG or GTGGNG in clones showing high-efficiency binding. DNA binding of the recombinant Alfin1 was inhibited by EDTA. Alfin1 mRNA was found predominantly in alfalfa roots. Growth of salt-sensitive Medicago sativa L on 171 mM NaCl led to a slight decrease in Alfin1 mRNA, while the salt-tolerant plants showed no decrease in Alfin1 mRNA levels. Interestingly, recombinant Alfin1 binds efficiently to three fragments of the MsPRP2 promoter, each containing consensus sequences identified by the random oligonucleotide selection. Since MsPRP2 transcripts were shown to be root-specific and accumulated in alfalfa roots in a salt-inducible manner, Alfin1 may play a role in the regulated expression of MsPRP2 in alfalfa roots and contribute to salt tolerance in these plants.	Bastola DR, Pethe V V, Winicov I (1998) Alfin1, a novel zinc-finger protein in alfalfa roots that binds to promoter elements in the salt-inducible MsPRP2 gene. Plant Mol Biol 38: 1123--35	http://www.ncbi.nlm.nih.gov/pubmed/9869418
B3-ARF	Auxin response factors (ARF) are key players in plant development. They mediate the cellular response to the plant hormone auxin by activating or repressing the expression of downstream developmental genes. The pivotal activation function of ARF proteins is enabled by their four-domain architecture, which includes both DNA-binding and protein dimerization motifs. To determine the evolutionary origin of this characteristic architecture, we built a comprehensive data set of 224 ARF-related protein sequences that represents all major living divisions of land plants, except hornworts. We found that ARFs are split into three subfamilies that could be traced back to the origin of the land plants. We also show that repeated events of extensive gene duplication contributed to the expansion of those three original subfamilies. Further examination of our data set uncovered a broad diversity in the structure of ARF transcripts and allowed us to identify an additional conserved motif in ARF proteins. We found that additional structural diversity in ARF proteins is mainly generated by two mechanisms: genomic truncation and alternative splicing. We propose that the loss of domains from the canonical, four-domain ARF structure has promoted functional shifts within the ARF family by disrupting either dimerization or DNA-binding capabilities. For instance, the loss of dimerization domains in some ARFs from moss and spikemoss genomes leads to proteins that are reminiscent of Aux/IAA proteins, possibly providing a clue on the evolution of these modulators of ARF function. We also assessed the functional impact of alternative splicing in the case of ARF4, for which we have identified a novel isoform in Arabidopsis thaliana. Genetic analysis showed that these two transcripts exhibit markedly different developmental roles in A. thaliana. Gene duplications, domain rearrangement, and post-transcriptional regulation have thus enabled a subtle control of auxin signaling through ARF proteins that may have contributed to the critical importance of these regulators in plant development and evolution.	Finet C, Berne-Dedieu A, Scutt CP, Marlétaz F (2013) Evolution of the ARF gene family in land plants: old domains, new tricks. Mol Biol Evol 30: 45--56	http://www.ncbi.nlm.nih.gov/pubmed/22977118
C2C2-Dof	Dof (DNA-binding with one finger) domain proteins are plant-specific transcription factors with a highly conserved DNA-binding domain, which presumably includes a single C(2)-C(2) zinc finger. During the past decade, numerous Dof domain proteins have been identified in both monocots and dicots including maize, barley, wheat, rice, tobacco, Arabidopsis, pumpkin, potato, and pea. Biochemical, molecular biological and molecular genetic analyses revealed that Dof domain proteins function as a transcriptional activator or a repressor involved in diverse plant-specific biological processes. Although more physiological roles of Dof domain proteins would be elucidated in future because of numerous Dof domain proteins in plants, it is already evident that the Dof domain proteins play critical roles as transcriptional regulators in plant growth and development. Here I summarize our current knowledge about Dof domain proteins. 	 Yanagisawa S (2004) Dof domain proteins: plant-specific transcription factors associated with diverse phenomena unique to plants. Plant Cell Physiol 45: 386--91	http://www.ncbi.nlm.nih.gov/pubmed/15111712
C2H2	Arabidopsis (Arabidopsis thaliana) trichome development is a model system for studying cell development, cell differentiation, and the cell cycle. Our previous studies have shown that the GLABROUS INFLORESCENCE STEMS (GIS) family genes, GIS, GIS2, and ZINC FINGER PROTEIN8 (ZFP8), control shoot maturation and epidermal cell fate by integrating gibberellins (GAs) and cytokinin signaling in Arabidopsis. Here, we show that a new C2H2 zinc finger protein, ZFP5, plays an important role in controlling trichome cell development through GA signaling. Overexpression of ZFP5 results in the formation of ectopic trichomes on carpels and other inflorescence organs. zfp5 loss-of-function mutants exhibit a reduced number of trichomes on sepals, cauline leaves, paraclades, and main inflorescence stems in comparison with wild-type plants. More importantly, it is found that ZFP5 mediates the regulation of trichome initiation by GAs. These results are consistent with ZFP5 expression patterns and the regional influence of GA on trichome initiation. The molecular analyses suggest that ZFP5 functions upstream of GIS, GIS2, ZFP8, and the key trichome initiation regulators GLABROUS1 (GL1) and GL3. Using a steroid-inducible activation of ZFP5 and chromatin immunoprecipitation experiments, we further demonstrate that ZFP8 is the direct target of ZFP5 in controlling epidermal cell differentiation.	Zhou Z, An L, Sun L, Zhu S, Xi W, Broun P, Yu H, Gan Y (2011) Zinc finger protein5 is required for the control of trichome initiation by acting upstream of zinc finger protein8 in Arabidopsis. Plant Physiol 157: 673--82	http://www.ncbi.nlm.nih.gov/pubmed/21803862
DBB	Over 1,600 genes encoding putative transcription factors have been identified in the Arabidopsis genome sequence, however, their physiological functions are not yet fully understood. In this study, a small subfamily of double B-box zinc finger (DBB, DOUBLE B-BOX) genes, encoding eight putative transcription factors, were characterized with reference to the circadian rhythm and the early photomorphogenic regulation of hypocotyl elongation in response to light signals. Among these, it was found that the transcriptions of five DBB genes were under the control of circadian rhythm. To gain insight into the physiological roles of these putative transcription factors, forward and reverse genetic studies were carried out. The results suggested that they are commonly implicated in light signal transduction during early photomorphogenesis, however, their functions are not totally redundant, as judged by the fact that their circadian-expression profiles (or phases) were distinctive from each other, and by the fact that some DBBs (named DBB1a, DBB1b, STO, and STH) were apparently implicated in light signal transduction in a negative manner, whereas another (named DBB3) was implicated in a positive manner with regard to light-induced inhibition of elongation of hypocotyls. We also found that homologous B-box zinc finger genes are widely conserved in higher plants (e.g., Oryza sativa). Taking this altogether, it is probable that in addition to previously characterized bZIP-type transcription factors (e.g., HY5 and HYH) and bHLH-type transcription factors (e.g., PIF4 and PIF5/PIL6), a set of B-box zinc finger transcription factors should also be taken into consideration for a better understanding of the complex molecular mechanisms underlying the early photomorphogenic development of Arabidopsis thaliana.	Kumagai T, Ito S, Nakamichi N, Niwa Y, Murakami M, Yamashino T, Mizuno T (2008) The common function of a novel subfamily of B-Box zinc finger proteins with reference to circadian-associated events in Arabidopsis thaliana. Biosci Biotechnol Biochem 72: 1539--49	http://www.ncbi.nlm.nih.gov/pubmed/18540109
FAR1	Plants use light to optimize growth and development. The photoreceptor phytochrome A (phyA) mediates various far-red light-induced responses. We show that Arabidopsis FHY3 and FAR1, which encode two proteins related to Mutator-like transposases, act together to modulate phyA signaling by directly activating the transcription of FHY1 and FHL, whose products are essential for light-induced phyA nuclear accumulation and subsequent light responses. FHY3 and FAR1 have separable DNA binding and transcriptional activation domains that are highly conserved in Mutator-like transposases. Further, expression of FHY3 and FAR1 is negatively regulated by phyA signaling. We propose that FHY3 and FAR1 represent transcription factors that have been co-opted from an ancient Mutator-like transposase(s) to modulate phyA-signaling homeostasis in higher plants.	Lin R, Ding L, Casola C, Ripoll DR, Feschotte C, Wang H (2007) Transposase-derived transcription factors regulate light signaling in Arabidopsis. Science 318: 1302--5	http://www.ncbi.nlm.nih.gov/pubmed/18033885
GRF	Growth-regulating factors (GRFs) are plant-specific transcription factors that were originally identified for their roles in stem and leaf development, but recent studies highlight them to be similarly important for other central developmental processes including flower and seed formation, root development, and the coordination of growth processes under adverse environmental conditions. The expression of several GRFs is controlled by microRNA miR396, and the GRF-miRNA396 regulatory module appears to be central to several of these processes. In addition, transcription factors upstream of GRFs and miR396 have been discovered, and gradually downstream target genes of GRFs are being unraveled. Here, we review the current knowledge of the biological functions performed by GRFs and survey available molecular data to illustrate how they exert their roles at the cellular level.	Omidbakhshfard MA, Proost S, Fujikura U, Mueller-Roeber B (2015) Growth-Regulating Factors (GRFs): A Small Transcription Factor Family with Important Functions in Plant Biology. Mol Plant 8: 998--1010	http://www.ncbi.nlm.nih.gov/pubmed/25620770
HB-other	The full complement of homeobox transcription factor sequences, including genes and pseudogenes, was determined from the analysis of 10 complete genomes from flowering plants, moss, Selaginella, unicellular green algae, and red algae. Our exhaustive genome-wide searches resulted in the discovery in each class of a greater number of homeobox genes than previously reported. All homeobox genes can be unambiguously classified by sequence evolutionary analysis into 14 distinct classes also characterized by conserved intron-exon structure and by unique codomain architectures. We identified many new genes belonging to previously defined classes (HD-ZIP I to IV, BEL, KNOX, PLINC, WOX). Other newly identified genes allowed us to characterize PHD, DDT, NDX, and LD genes as members of four new evolutionary classes and to define two additional classes, which we named SAWADEE and PINTOX. Our comprehensive analysis allowed us to identify several newly characterized conserved motifs, including novel zinc finger motifs in SAWADEE and DDT. Members of the BEL and KNOX classes were found in Chlorobionta (green plants) and in Rhodophyta. We found representatives of the DDT, WOX, and PINTOX classes only in green plants, including unicellular green algae, moss, and vascular plants. All 14 homeobox gene classes were represented in flowering plants, Selaginella, and moss, suggesting that they had already differentiated in the last common ancestor of moss and vascular plants.	Mukherjee K, Brocchieri L, Bürglin TR (2009) A comprehensive classification and evolutionary analysis of plant homeobox genes. Mol Biol Evol 26: 2775--94	http://www.ncbi.nlm.nih.gov/pubmed/19734295
LFY	Despite great advances in sequencing technologies, generating functional information for nonmodel organisms remains a challenge. One solution lies in an improved ability to predict genetic circuits based on primary DNA sequence in combination with detailed knowledge of regulatory proteins that have been characterized in model species. Here, we focus on the LEAFY (LFY) transcription factor, a conserved master regulator of floral development. Starting with biochemical and structural information, we built a biophysical model describing LFY DNA binding specificity in vitro that accurately predicts in vivo LFY binding sites in the Arabidopsis thaliana genome. Applying the model to other plant species, we could follow the evolution of the regulatory relationship between LFY and the AGAMOUS (AG) subfamily of MADS box genes and show that this link predates the divergence between monocots and eudicots. Remarkably, our model succeeds in detecting the connection between LFY and AG homologs despite extensive variation in binding sites. This demonstrates that the cis-element fluidity recently observed in animals also exists in plants, but the challenges it poses can be overcome with predictions grounded in a biophysical model. Therefore, our work opens new avenues to deduce the structure of regulatory networks from mere inspection of genomic sequences.	Moyroud E, Minguet EG, Ott F, Yant L, Posé D, Monniaux M, Blanchet S, Bastien O, Thévenon E, Weigel D, et al (2011) Prediction of regulatory interactions from genome sequences using a biophysical model for the Arabidopsis LEAFY transcription factor. Plant Cell 23: 1293--306	http://www.ncbi.nlm.nih.gov/pubmed/21515819
MYB-related	The MYB family of proteins is large, functionally diverse and represented in all eukaryotes. Most MYB proteins function as transcription factors with varying numbers of MYB domain repeats conferring their ability to bind DNA. In plants, the MYB family has selectively expanded, particularly through the large family of R2R3-MYB. Members of this family function in a variety of plant-specific processes, as evidenced by their extensive functional characterization in Arabidopsis (Arabidopsis thaliana). MYB proteins are key factors in regulatory networks controlling development, metabolism and responses to biotic and abiotic stresses. The elucidation of MYB protein function and regulation that is possible in Arabidopsis will provide the foundation for predicting the contributions of MYB proteins to the biology of plants in general.	Dubos C, Stracke R, Grotewold E, Weisshaar B, Martin C, Lepiniec L (2010) MYB transcription factors in Arabidopsis. Trends Plant Sci 15: 573--81	http://www.ncbi.nlm.nih.gov/pubmed/20674465
