TR	Description	Literature	Link
ARID	In plants, each male meiotic product undergoes mitosis, and then one of the resulting cells divides again, yielding a three-celled pollen grain comprised of a vegetative cell and two sperm cells. Several genes have been found to act in this process, and DUO1 (DUO POLLEN 1), a transcription factor, plays a key role in sperm cell formation by activating expression of several germline genes. But how DUO1 itself is activated and how sperm cell formation is initiated remain unknown. To expand our understanding of sperm cell formation, we characterized an ARID (AT-Rich Interacting Domain)-containing protein, ARID1, that is specifically required for sperm cell formation in Arabidopsis. ARID1 localizes within nuclear bodies that are transiently present in the generative cell from which sperm cells arise, coincident with the timing of DUO1 activation. An arid1 mutant and antisense arid1 plants had an increased incidence of pollen with only a single sperm-like cell and exhibited reduced fertility as well as reduced expression of DUO1. In vitro and in vivo evidence showed that ARID1 binds to the DUO1 promoter. Lastly, we found that ARID1 physically associates with histone deacetylase 8 and that histone acetylation, which in wild type is evident only in sperm, expanded to the vegetative cell nucleus in the arid1 mutant. This study identifies a novel component required for sperm cell formation in plants and uncovers a direct positive regulatory role of ARID1 on DUO1 through association with histone acetylation.	Zheng B, He H, Zheng Y, Wu W, McCormick S (2014) An ARID domain-containing protein within nuclear bodies is required for sperm cell formation in Arabidopsis thaliana. PLoS Genet 10: e1004421	http://www.ncbi.nlm.nih.gov/pubmed/25057814
IWS1	Plant steroid hormones, brassinosteroids (BRs), regulate essential growth and developmental processes. BRs signal through membrane-localized receptor BRI1 and several other signaling components to regulate the BES1 and BZR1 family transcription factors, which in turn control the expression of hundreds of target genes. However, knowledge about the transcriptional mechanisms by which BES1/BZR1 regulate gene expression is limited. By a forward genetic approach, we have discovered that Arabidopsis thaliana Interact-With-Spt6 (AtIWS1), an evolutionarily conserved protein implicated in RNA polymerase II (RNAPII) postrecruitment and transcriptional elongation processes, is required for BR-induced gene expression. Loss-of-function mutations in AtIWS1 lead to overall dwarfism in Arabidopsis, reduced BR response, genome-wide decrease in BR-induced gene expression, and hypersensitivity to a transcription elongation inhibitor. Moreover, AtIWS1 interacts with BES1 both in vitro and in vivo. Chromatin immunoprecipitation experiments demonstrated that the presence of AtIWS1 is enriched in transcribed as well as promoter regions of the target genes under BR-induced conditions. Our results suggest that AtIWS1 is recruited to target genes by BES1 to promote gene expression during transcription elongation process. Recent genomic studies have indicated that a large number of genes could be regulated at steps after RNAPII recruitment; however, the mechanisms for such regulation have not been well established. The study therefore not only establishes an important role for AtIWS1 in plant steroid-induced gene expression but also suggests an exciting possibility that IWS1 protein can function as a target for pathway-specific activators, thereby providing a unique mechanism for the control of gene expression.	Li L, Ye H, Guo H, Yin Y (2010) Arabidopsis IWS1 interacts with transcription factor BES1 and is involved in plant steroid hormone brassinosteroid regulated gene expression. Proc Natl Acad Sci U S A 107: 3918--23	http://www.ncbi.nlm.nih.gov/pubmed/20139304
MED7	Mediator is a modular multiprotein complex required for regulated transcription by RNA polymerase (Pol) II. Here, we show that the middle module of the Mediator core contains a submodule of unique structure and function that comprises the N-terminal part of subunit Med7 (Med7N) and the highly conserved subunit Med31 (Soh1). The Med7N/31 submodule shows a conserved novel fold, with two proline-rich stretches in Med7N wrapping around the right-handed four-helix bundle of Med31. In vitro, Med7N/31 is required for activated transcription and can act in trans when added exogenously. In vivo, Med7N/31 has a predominantly positive function on the expression of a specific subset of genes, including genes involved in methionine metabolism and iron transport. Comparative phenotyping and transcriptome profiling identify specific and overlapping functions of different Mediator submodules.	Koschubs T, Seizl M, Larivière L, Kurth F, Baumli S, Martin DE, Cramer P (2009) Identification, structure, and functional requirement of the Mediator submodule Med7N/31. EMBO J 28: 69--80	http://www.ncbi.nlm.nih.gov/pubmed/19057509
RB	Retinoblastoma protein (Rb) plays a key role in cell cycle control, cell differentiation, and apoptosis in animals. In this study, we used virus-induced gene silencing (VIGS) to investigate the cellular functions of Rb in higher plants. VIGS of NbRBR1, which encodes the Nicotiana benthamiana Rb homolog, resulted in growth retardation and abnormal organ development. At the cellular level, Rb suppression caused prolonged cell proliferation in tissues that are normally differentiated, which indicates that Rb is a negative regulator of plant cell division. Furthermore, differentiation of the epidermal pavement cells and trichomes was partially retarded, and stomatal clusters formed in the epidermis, likely due to uncontrolled cell division of stomata precursor cells. Rb suppression also caused extra DNA replication in endoreduplicating leaf cells, suggesting a role of Rb in the endocycle. These Rb phenotypes were accompanied by stimulated transcription of E2F and E2F-regulated S-phase genes. Thus, disruption of Rb function in plants leads to ectopic cell division in major organs that correlates with a delay in cell differentiation as well as increased endoreduplication, which indicates that Rb coordinates these processes in plant organ development.	Park J-A, Ahn J-W, Kim Y-K, Kim SJ, Kim J-K, Kim WT, Pai H-S (2005) Retinoblastoma protein regulates cell proliferation, differentiation, and endoreduplication in plants. Plant J 42: 153--63	Park J-A, Ahn J-W, Kim Y-K, Kim SJ, Kim J-K, Kim WT, Pai H-S (2005) Retinoblastoma protein regulates cell proliferation, differentiation, and endoreduplication in plants. Plant J 42: 153--63
SWI/SNF-BAF60b	SWI/SNF-type ATP-dependent chromatin remodeling complexes (CRCs) are evolutionarily conserved multiprotein machineries controlling DNA accessibility by regulating chromatin structure. We summarize here recent advances highlighting the role of SWI/SNF in the regulation of hormone signaling pathways and their crosstalk in Arabidopsis thaliana. We discuss the functional interdependences of SWI/SNF complexes and key elements regulating developmental and hormone signaling pathways by indicating intriguing similarities and differences in plants and humans, and summarize proposed mechanisms of SWI/SNF action on target loci. We postulate that, given their viability, several plant SWI/SNF mutants may serve as an attractive model for searching for conserved functions of SWI/SNF CRCs in hormone signaling, cell cycle control, and other regulatory pathways.	Sarnowska E, Gratkowska DM, Sacharowski SP, Cwiek P, Tohge T, Fernie AR, Siedlecki JA, Koncz C, Sarnowski TJ (2016) The Role of SWI/SNF Chromatin Remodeling Complexes in Hormone Crosstalk. Trends Plant Sci 21: 594--608	http://www.ncbi.nlm.nih.gov/pubmed/26920655
AUX/IAA	Aux/IAA genes are early auxin response genes that encode short-lived nuclear proteins with four conserved domains, referred to as I, II, III, and IV. Arabidopsis Aux/IAA proteins repressed transcription on auxin-responsive reporter genes in protoplast transfection assays. Mutations in domain II resulted in increased repression, whereas mutations in domains I and III partially relieved repression. Aux/IAA proteins fused to a heterologous DNA binding domain were targeted to promoters of constitutively expressed reporter genes and actively repressed transcription in an auxin-responsive and dose-dependent manner. In comparison with an unfused luciferase protein, luciferase fused to Aux/IAA proteins displayed less luciferase activity, which further decreased in the presence of auxin in transfected protoplasts. Domain II mutations increased and domain I mutations decreased luciferase activity with the fusion proteins. These results suggested that Aux/IAA proteins function as active repressors by dimerizing with auxin response factors bound to auxin response elements and that early auxin response genes are regulated by auxin-modulated stabilities of Aux/IAA proteins.	Tiwari SB, Wang XJ, Hagen G, Guilfoyle TJ (2001) AUX/IAA proteins are active repressors, and their stability and activity are modulated by auxin. Plant Cell 13: 2809--22	http://www.ncbi.nlm.nih.gov/pubmed/11752389
Jumonji	The first Jumonji gene was cloned in 1995 by Takeuchi et al. [Takeuchi T, Yamazaki Y, Katoh-Fukui Y, Tsuchiya R, Kondo S, Motoyama J, Higashinakagawa T. Gene trap capture of a novel mouse gene, jumonji, required for neural tube formation. Genes Dev 1995; 9: 1211-22.]. Several genes sharing similar biological features have since been discovered, and are currently grouped into the JMJ family. Interestingly, their deregulation has been associated with cardiac disease, obesity, neurological disorders and cancer. One of the mechanisms underlying their function is gene expression modulation via histone post-translational modifications (PTMs). Increasing evidence of Jumonji deregulation in tumours such as colon, prostate, haematological and breast cancer is continually emerging, hence the need to acquire a better understanding. The Genesapiens.org database of patient arrays allows target expression levels to be investigated in a wide range of cancers, corroborating and extending the role of the JMJ family. Here, we provide an overview of the expression profile and regulation of JMJ fammembers in cancer, examining the most recent literature in the light of analyses drawn from this database.	Franci G, Ciotta A, Altucci L (2014) The Jumonji family: past, present and future of histone demethylases in cancer. Biomol Concepts 5: 209--24	http://www.ncbi.nlm.nih.gov/pubmed/25372754
mTERF	Organellar gene expression (OGE) is crucial for plant development, photosynthesis, and respiration, but our understanding of the mechanisms that control it is still relatively poor. Thus, OGE requires various nucleus-encoded proteins that promote transcription, splicing, trimming, and editing of organellar RNAs, and regulate translation. In metazoans, proteins of the mitochondrial Transcription tERmination Factor (mTERF) family interact with the mitochondrial chromosome and regulate transcriptional initiation and termination. Sequencing of the Arabidopsis thaliana genome led to the identification of a diversified MTERF gene family but, in contrast to mammalian mTERFs, knowledge about the function of these proteins in photosynthetic organisms is scarce. In this hypothesis article, I show that tandem duplications and one block duplication contributed to the large number of MTERF genes in A. thaliana, and propose that the expansion of the family is related to the evolution of land plants. The MTERF genes-especially the duplicated genes-display a number of distinct mRNA accumulation patterns, suggesting functional diversification of mTERF proteins to increase adaptability to environmental changes. Indeed, hypothetical functions for the different mTERF proteins can be predicted using co-expression analysis and gene ontology (GO) annotations. On this basis, mTERF proteins can be sorted into five groups. Members of the ""chloroplast"" and ""chloroplast-associated"" clusters are principally involved in chloroplast gene expression, embryogenesis, and protein catabolism, while representatives of the ""mitochondrial"" cluster seem to participate in DNA and RNA metabolism in that organelle. Moreover, members of the ""mitochondrion-associated"" cluster and the ""low expression"" group may act in the nucleus and/or the cytosol. As proteins involved in OGE and presumably nuclear gene expression (NGE), mTERFs are ideal candidates for the coordination of the expression of organelle and nuclear genomes.	Kleine T (2012) Arabidopsis thaliana mTERF proteins: evolution and functional classification. Front Plant Sci 3: 233	http://www.ncbi.nlm.nih.gov/pubmed/23087700
Rcd1-like	The RCD1 protein is a regulator of both developmental and stress responses in Arabidopsis thaliana and it interacts with several transcription factors. Its closest homolog, SRO1, seems to be dispensable for proper plant responses but the hardly viable phenotype of the rcd1 sro1 double mutant reveals that it encodes a functional protein that can partially compensate for the loss of RCD1 in the single rcd1 mutant. Both RCD1 and SRO1 contain a WWE domain, the catalytic core of poly(ADP-ribose) polymerases and a novel conserved domain termed RST which is also found in the transcription initiation complex component TAF4. Here we summarize recent findings on the protein-protein interactions mediated by RCD1 and highlight the different functional possibilities that form the basis of our future experiments concerning the biochemical function of RCD1.	Jaspers P, Brosché M, Overmyer K, Kangasjärvi J (2010) The transcription factor interacting protein RCD1 contains a novel conserved domain. Plant Signal Behav 5: 78--80	http://www.ncbi.nlm.nih.gov/pubmed/20592818
SWI/SNF-SWI3	SWI/SNF-type ATP-dependent chromatin remodeling complexes (CRCs) are evolutionarily conserved multiprotein machineries controlling DNA accessibility by regulating chromatin structure. We summarize here recent advances highlighting the role of SWI/SNF in the regulation of hormone signaling pathways and their crosstalk in Arabidopsis thaliana. We discuss the functional interdependences of SWI/SNF complexes and key elements regulating developmental and hormone signaling pathways by indicating intriguing similarities and differences in plants and humans, and summarize proposed mechanisms of SWI/SNF action on target loci. We postulate that, given their viability, several plant SWI/SNF mutants may serve as an attractive model for searching for conserved functions of SWI/SNF CRCs in hormone signaling, cell cycle control, and other regulatory pathways.	Sarnowska E, Gratkowska DM, Sacharowski SP, Cwiek P, Tohge T, Fernie AR, Siedlecki JA, Koncz C, Sarnowski TJ (2016) The Role of SWI/SNF Chromatin Remodeling Complexes in Hormone Crosstalk. Trends Plant Sci 21: 594--608	http://www.ncbi.nlm.nih.gov/pubmed/26920655
